type,name,description,url
url,Univision_WL2_164_rwctr_tr_zoom_us,api,rwctr.tr.zoom.us
url,Univision_WL2_165_rwcty_ty_zoom_us,api,rwcty.ty.zoom.us
url,Univision_WL2_166_rwcvn_vn_zoom_us,api,rwcvn.vn.zoom.us
url,Univision_WL2_167_s_adroll_com,api,s.adroll.com
url,Univision_WL2_168_s_gompulse_net,api,s.go-mpulse.net
url,Univision_WL2_169_s_pinimg_com,api,s.pinimg.com
url,Univision_WL2_170_s_tgm_yahoonet_jp,api,s.tgm.yahoo-net.jp
url,Univision_WL2_171_s_w_org,api,s.w.org
url,Univision_WL2_172_s0_2mdn_net,api,s0.2mdn.net
url,Univision_WL2_173_s1gateway_com,api,s1gateway.com
url,Univision_WL2_174_sabacloud_com,api,sabacloud.com
url,Univision_WL2_175_safebrowsing_google_com,api,safebrowsing.google.com
url,Univision_WL2_176_safebrowsing_googleapis_com,api,safebrowsing.googleapis.com
url,Univision_WL2_177_sak_userreport_com,api,sak.userreport.com
url,Univision_WL2_178_sbssl_google_com,api,sb-ssl.google.com
url,Univision_WL2_179_sconepa_clients6_google_com,api,scone-pa.clients6.google.com
url,Univision_WL2_180_scout_salesloft_com,api,scout.salesloft.com
url,Univision_WL2_181_scoutcdn_salesloft_com,api,scout-cdn.salesloft.com
url,Univision_WL2_182_script_crazyegg_com,api,script.crazyegg.com
url,Univision_WL2_183_script_hotjar_com,api,script.hotjar.com
url,Univision_WL2_184_scripts_demandbase_com,api,scripts.demandbase.com
url,Univision_WL2_185_scstatic_net,api,sc-static.net
url,Univision_WL2_186_sd_iperceptions_com,api,sd.iperceptions.com
url,Univision_WL2_187_sdk_iad05_braze_com,api,sdk.iad-05.braze.com
url,Univision_WL2_188_seadc_ccms_teleperformance_com,api,seadc.ccms.teleperformance.com
url,Univision_WL2_189_secure_aadcdn_microsoftonlinep_com,api,secure.aadcdn.microsoftonline-p.com
url,Univision_WL2_190_secure_adnxs_com,api,secure.adnxs.com
url,Univision_WL2_191_secure_flashtalking_com,api,secure.flashtalking.com
url,Univision_WL2_192_secure_gravatar_com,api,secure.gravatar.com
url,Univision_WL2_193_secure_quantserve_com,api,secure.quantserve.com
url,Univision_WL2_194_secure_surveymonkey_com,api,secure.surveymonkey.com
url,Univision_WL2_195_secure_thaw6lily_com,api,secure.thaw6lily.com
url,Univision_WL2_196_securemetrics_apple_com,api,securemetrics.apple.com
url,Univision_WL2_197_securepubads_g_doubleclick_net,api,securepubads.g.doubleclick.net
url,Univision_WL2_198_securitydomainpa_googleapis_com,api,securitydomain-pa.googleapis.com
url,Univision_WL2_199_segments_companytarget_com,api,segments.company-target.com
url,Univision_WL2_200_sensor_cloud_tenable_com,api,sensor.cloud.tenable.com
url,Univision_WL2_201_sentry_io,api,sentry.io
url,Univision_WL2_202_servedby_flashtalking_com,api,servedby.flashtalking.com
url,Univision_WL2_203_server_cpmstar_com,api,server.cpmstar.com
url,Univision_WL2_204_servicedesk_teleperformance_com,api,servicedesk.teleperformance.com
url,Univision_WL2_205_servicedeskes_teleperformance_com,api,servicedesk-es.teleperformance.com
url,Univision_WL2_206_settings_data_microsoft_com,api,settings.data.microsoft.com
url,Univision_WL2_207_settingswin_data_microsoft_com,api,settings-win.data.microsoft.com
url,Univision_WL2_208_signalerpa_clients6_google_com,api,signaler-pa.clients6.google.com
url,Univision_WL2_209_simage2_pubmatic_com,api,simage2.pubmatic.com
url,Univision_WL2_210_simage4_pubmatic_com,api,simage4.pubmatic.com
url,Univision_WL2_211_site_cariai_com,api,site.cariai.com
url,Univision_WL2_212_skilljarpublic_s3_amazonaws_com,api,skilljar-public.s3.amazonaws.com
url,Univision_WL2_213_slack_com,api,slack.com
url,Univision_WL2_214_slackedge_com,api,slack-edge.com
url,Univision_WL2_215_sls_update_microsoft_com,api,sls.update.microsoft.com
url,Univision_WL2_216_slscr_update_microsoft_com,api,slscr.update.microsoft.com
url,Univision_WL2_217_slscr_update_microsoft_comMicros,api,slscr.update.microsoft.comMicros
url,Univision_WL2_218_smartscreenprod_microsoft_com,api,smartscreen-prod.microsoft.com
url,Univision_WL2_219_snap_licdn_com,api,snap.licdn.com
url,Univision_WL2_220_sonatanotifications_taptapnetworks,api,sonata-notifications.taptapnetworks.com
url,Univision_WL2_221_spl_zeotap_com,api,spl.zeotap.com
url,Univision_WL2_222_ssl_googleanalytics_com,api,ssl.google-analytics.com
url,Univision_WL2_223_ssl_gstatic,api,ssl.gstatic
url,Univision_WL2_224_ssl_gstatic_com,api,ssl.gstatic.com
url,Univision_WL2_225_sso_emea_teleperformance_com,api,sso.emea.teleperformance.com
url,Univision_WL2_226_sstats_adobe_com,api,sstats.adobe.com
url,Univision_WL2_227_ssum_casalemedia_com,api,ssum.casalemedia.com
url,Univision_WL2_228_ssumsec_casalemedia_com,api,ssum-sec.casalemedia.com
url,Univision_WL2_229_st1_zoom_us,api,st1.zoom.us
url,Univision_WL2_230_st2_zoom_us,api,st2.zoom.us
url,Univision_WL2_231_st3_zoom_us,api,st3.zoom.us
url,Univision_WL2_232_stackpath_bootstrapcdn_com,api,stackpath.bootstrapcdn.com
url,Univision_WL2_233_stags_bluekai_com,api,stags.bluekai.com
url,Univision_WL2_234_stat_flashtalking_com,api,stat.flashtalking.com
url,Univision_WL2_235_static_ada_support,api,static.ada.support
url,Univision_WL2_236_static_adsafeprotected_com,api,static.adsafeprotected.com
url,Univision_WL2_237_static_adstwitter_com,api,static.ads-twitter.com
url,Univision_WL2_238_static_cloud_coveo_com,api,static.cloud.coveo.com
url,Univision_WL2_239_static_doubleclick_net,api,static.doubleclick.net
url,Univision_WL2_240_static_hotjar_com,api,static.hotjar.com
url,Univision_WL2_241_static_hsappstatic_net,api,static.hsappstatic.net
url,Univision_WL2_242_static_xx_fbcdn_net,api,static.xx.fbcdn.net
url,Univision_WL2_243_static_zdassets_com,api,static.zdassets.com
url,Univision_WL2_244_static0_blim_com,api,static0.blim.com
url,Univision_WL2_245_staticartifact_hegcp_com,api,static-artifact.heg-cp.com
url,Univision_WL2_246_staticeu2_sabacloud_com,api,static-eu2.sabacloud.com
url,Univision_WL2_247_stats_g_doubleclick_net,api,stats.g.doubleclick.net
url,Univision_WL2_248_stats_pusher_com,api,stats.pusher.com
